"Country","Code","Continent.region","Year","Population","Total.Death.Rate","Average.death.rate","Factor","Death_rate","normalised death rate"
"Fiji","FJI","Oceania",2019,918465,11174,103.3246,"Diet low in vegetables",166,0.000432880113070372
"Finland","FIN","Europe",2019,5521606,48634,100.7316,"Diet low in whole grains",2617,0.00682438105966966
"Finland","FIN","Europe",2019,5521606,48634,100.7316,"Diet low in fruits",1046,0.00272766625464825
"Finland","FIN","Europe",2019,5521606,48634,100.7316,"Diet low in nuts and seeds",1038,0.00270680456245208
"Finland","FIN","Europe",2019,5521606,48634,100.7316,"Diet low in vegetables",861,0.00224523962261199
"France","FRA","Europe",2019,67388001,402771,51.481,"Diet low in whole grains",18559,0.0483965181835725
"France","FRA","Europe",2019,67388001,402771,51.481,"Diet low in fruits",7900,0.0206009210437105
"France","FRA","Europe",2019,67388001,402771,51.481,"Diet low in nuts and seeds",3557,0.00927562989271875
"France","FRA","Europe",2019,67388001,402771,51.481,"Diet low in vegetables",4676,0.012193659088657
"Gabon","GAB","Africa",2019,2242785,8831,17.2107,"Diet low in whole grains",182,0.000474603497462697
"Gabon","GAB","Africa",2019,2242785,8831,17.2107,"Diet low in fruits",51,0.000132993287750536
"Gabon","GAB","Africa",2019,2242785,8831,17.2107,"Diet low in nuts and seeds",5,1.30385576226016e-05
"Gabon","GAB","Africa",2019,2242785,8831,17.2107,"Diet low in vegetables",148,0.000385941305629006
"Georgia","GEO","Asia",2019,3720161,69032,188.9703,"Diet low in whole grains",3770,0.00983107244744157
"Georgia","GEO","Asia",2019,3720161,69032,188.9703,"Diet low in fruits",1462,0.0038124742488487
"Georgia","GEO","Asia",2019,3720161,69032,188.9703,"Diet low in nuts and seeds",1039,0.0027094122739766
"Georgia","GEO","Asia",2019,3720161,69032,188.9703,"Diet low in vegetables",759,0.00197925304711092
"Germany","DEU","Europe",2019,83092962,879851,73.3624,"Diet low in whole grains",33593,0.0876008532432108
"Germany","DEU","Europe",2019,83092962,879851,73.3624,"Diet low in fruits",12908,0.0336603403585082
"Germany","DEU","Europe",2019,83092962,879851,73.3624,"Diet low in nuts and seeds",4569,0.0119146339555333
"Germany","DEU","Europe",2019,83092962,879851,73.3624,"Diet low in vegetables",9889,0.0257876592659814
"Ghana","GHA","Africa",2019,31522290,145698,20.725,"Diet low in whole grains",3438,0.00896531222130083
"Ghana","GHA","Africa",2019,31522290,145698,20.725,"Diet low in fruits",915,0.00238605604493608
"Ghana","GHA","Africa",2019,31522290,145698,20.725,"Diet low in nuts and seeds",54,0.000140816422324097
"Ghana","GHA","Africa",2019,31522290,145698,20.725,"Diet low in vegetables",2126,0.00554399470113018
"Greece","GRC","Europe",2019,10721582,118223,83.5231,"Diet low in whole grains",7431,0.0193779043387104
"Greece","GRC","Europe",2019,10721582,118223,83.5231,"Diet low in fruits",678,0.00176802841362477
"Greece","GRC","Europe",2019,10721582,118223,83.5231,"Diet low in nuts and seeds",567,0.00147857243440302
"Greece","GRC","Europe",2019,10721582,118223,83.5231,"Diet low in vegetables",279,0.000727551515341167
"Greenland","GRL","North America",2019,56225,391,39.1285,"Diet low in whole grains",13,3.3900249818764e-05
"Greenland","GRL","North America",2019,56225,391,39.1285,"Diet low in fruits",6,1.56462691471219e-05
"Greenland","GRL","North America",2019,56225,391,39.1285,"Diet low in nuts and seeds",1,2.60771152452031e-06
"Greenland","GRL","North America",2019,56225,391,39.1285,"Diet low in vegetables",2,5.21542304904062e-06
"Grenada","GRD","North America",2019,122724,787,48.0754,"Diet low in whole grains",33,8.60544803091703e-05
"Grenada","GRD","North America",2019,122724,787,48.0754,"Diet low in fruits",8,2.08616921961625e-05
"Grenada","GRD","North America",2019,122724,787,48.0754,"Diet low in nuts and seeds",4,1.04308460980812e-05
"Grenada","GRD","North America",2019,122724,787,48.0754,"Diet low in vegetables",14,3.65079613432844e-05
"Guam","GUM","Oceania",2019,168624,1226,62.8618,"Diet low in whole grains",63,0.00016428582604478
"Guam","GUM","Oceania",2019,168624,1226,62.8618,"Diet low in fruits",16,4.1723384392325e-05
